child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
0.05286255443421413,0.005860593617983828,0.004442329962431741,0.026314065344747384,0.9435555724953962,0.005532400375376733,0.032936536133069114,0.003410865485666588,0.32409082707450565
0.0015456592862991608,0.002607136145564849,0.0006098836340517772,0.004525243452658988,0.9246022116235341,0.00041807290334236333,0.007104445996664214,0.0001536348085779286,0.3808281012628655
0.0020000620296886317,0.0028132740637378554,0.0003055039803590327,0.0023004376458689753,0.9450842557869359,0.001179523761098424,0.005604569423852759,0.00021172817823443757,0.32675006052788635
0.01730372523391136,0.009059009093047712,0.00041441694887938975,0.0062380656515529185,0.8579157889082103,0.0032571718087362556,0.008739108290403972,0.0008957222474024704,0.5132953787874547
0.00045446315610901146,0.002007579961452429,0.00026605949818809117,0.0025988232907592983,0.8427423574448659,6.353659658223073e-05,0.0033886184843856387,9.398121577788294e-05,0.5382961654883437
0.0006791832995129323,0.0008852803007444428,0.0003794058431761898,0.0007494436408418564,0.8759122552339197,0.0009789607558496748,0.0035504892484882946,0.00011101133929969999,0.4824543437919451
0.0024347082905840528,0.0027978968201186906,0.0005918627888712615,0.006093496439970032,0.9012456103266936,0.0010451758794385684,0.009859896005514424,0.00022732911663464358,0.43313595003760497
7.23004917147337e-05,0.0002982395283232765,0.00013149651930617192,0.00031480839100790295,0.6235917410395782,1.7472618831060642e-05,0.0012351334001267007,2.9070822710299173e-05,0.7817490666655581
6.743605607950204e-05,0.0008045278318321987,0.00017251084113360988,0.0007496380187442319,0.6774971215429042,1.3691087664512856e-05,0.001262465701023236,2.2583237384763475e-05,0.7355234953787548
0.0023014449331774964,0.0031879709150902558,0.00034521673997662443,0.001215303829509545,0.9393652788479576,0.0008102025530063635,0.004056883798024617,0.0001127238334617549,0.3428683267795045
0.00018688087697703152,0.0015102582499888014,0.00010799976262509844,0.00110607402768964,0.893116749273953,0.0001616736889196645,0.0016515054244481855,4.6937522589580016e-05,0.44981792481680843
0.01932230568699409,0.006258236659755171,0.0013768120651461377,0.00852684744891642,0.9543810906126636,0.002792738109415745,0.027536241302922756,0.0009113557135768469,0.29648396175590125
